"id","phase2","day","slphrs","slpwell","weath","lteq","pss","se","ssgs_shame","ssgs_guilt","swls","pc","enthusiastic","calm","nervous","sluggish","happy","peaceful","embarrassed","sad","alert","satisfied","upset","bored","proud","relaxed","stress","depressed","excited","content","tense","disappointed","ashamed","relieved","angry","pos_activ","pos_deact","neg_activ","neg_deact","pfi_auth","pfi_hubr","evalday","posaff","negaff","affbalance","temp","hum","wind","bar","prec"
203,1,0,7,2,4,3,3.25,5,1,1,6.8,7,4,6,1,1,7,7,1,1,1,7,1,2,7,6,2,1,6,7,1,1,1,2,1,5,6.6,1.2,1.2,4.142857143,1,1,5.8,1.2,4.6,48,0.58,7,30,0.01
203,1,1,7,3,1,NA,3.5,4,1,1,6.2,6.5,6,7,1,1,6,6,1,1,1,6,1,2,6,7,1,1,4,6,1,1,1,1,1,4.6,6.4,1,1.2,3.857142857,1,0,5.5,1.1,4.4,35,0.48,6,30.2,0
203,1,2,9,3,3,3,2.5,3,1,1,4.8,5,5,7,1,1,5,6,1,1,1,4,1,2,5,7,1,1,1,7,1,1,1,1,1,3.4,6.2,1,1.2,3.142857143,1,1,4.8,1.1,3.7,34,0.42,7,30.41,0
203,1,3,9,3,3,0,3.25,4,1,1,4.8,4.666666667,1,7,1,1,7,7,1,1,1,5,2,1,5,7,1,1,1,6,1,1,1,1,1,3,6.4,1.2,1,2.428571429,1,1,4.7,1.1,3.6,42,0.46,5,30.4,0
203,1,4,8,3,3,9,2.25,2,1,1,3.5,3.5,1,5,1,1,4,6,1,1,1,1,1,1,5,4,4,1,1,4,4,1,1,1,1,2.4,4,2.2,1,1.857142857,1,0,3.2,1.6,1.6,35,0.36,10,30.35,0
203,1,5,6.5,3,3,12,1,1,1.4,1,2.4,2.166666667,3,4,3,1,3,4,1,5,1,2,6,1,1,3,6,5,1,2,4,4,1,1,2,1.8,3,4,3.2,1.857142857,1,0,2.4,3.6,-1.2,32,0.35,8,30.43,0
203,1,6,8,3,3,12,2.75,3,1.2,1,4.2,4.5,5,6,1,1,6,6,1,1,1,3,2,1,3,5,2,1,1,6,2,1,1,3,1,3.2,5.2,1.6,1,3.428571429,1,1,4.2,1.3,2.9,42,0.24,3,30.35,0
203,1,7,6.5,3,0,18,2.5,4,1,1,4,5,4,6,1,1,5,6,1,1,1,4,1,1,5,5,1,1,2,6,1,1,1,1,1,3.4,5.4,1,1,3.142857143,1,0,4.4,1,3.4,39,0.8,8,30.07,0.29
203,1,8,8,3,4,27,3.5,4,1,1,5.6,5.333333333,6,5,1,1,7,5,1,1,1,6,1,1,5,4,1,1,4,4,1,1,1,1,1,4.6,4.8,1,1,4,1,1,4.7,1,3.7,44,0.79,6,29.93,0
203,1,9,9,4,2,9,3.25,3,1,1,4.4,5,4,6,1,1,5,6,1,1,1,4,1,1,1,6,1,1,5,7,1,1,1,1,1,3.2,5.8,1,1,2.285714286,1,1,4.5,1,3.5,47,0.86,3,29.95,0.04
203,1,10,9,3,2,12,3,3,1,1,4.6,5,5,6,1,1,5,6,1,1,1,5,1,1,3,6,1,1,2,7,1,1,1,1,1,3.2,6,1,1,3,1,1,4.6,1,3.6,48,0.9,10,29.54,0.12
203,1,11,7.5,3,0,9,3.25,4,1,1,4.2,4.833333333,4,5,2,1,5,5,1,1,3,5,1,1,4,6,2,1,2,6,2,1,1,1,1,3.6,5.4,1.6,1,3,1,1,4.5,1.3,3.2,36,0.74,18,29.71,0
203,1,12,7,2,4,9,3.5,3,1,1,5,5.333333333,5,6,2,1,6,6,1,1,1,6,1,1,4,6,2,1,4,7,1,1,1,1,1,4,6.2,1.4,1,3.714285714,1,1,5.1,1.2,3.9,45,0.57,2,30.09,0
203,1,13,4,1,0,9,3,3,1,1,4.2,5,1,5,2,1,6,6,1,1,1,3,1,1,4,5,2,1,3,6,1,1,1,1,1,3,5,1.4,1,3,1,0,4,1.2,2.8,45,0.72,9,29.99,0.12
203,1,14,7,2,4,9,3.75,4,1,1,6.6,6.166666667,6,6,1,1,7,6,1,1,1,7,1,1,5,6,1,1,6,6,1,1,1,1,1,5,6.2,1,1,4.142857143,1,1,5.6,1,4.6,53,0.76,5,30,0
