"id","day","interaction","timea","timeb","dur","choice1","choice2","location","partner_gender","partner_status","first","mtone","length","level","igaff","igdom","agval","agarous","stress","health","sbi_extra","sbi_agree","sbi_domin","sbi_quarl","sbi_submi","sbi_agency","sbi_commun","sbi_total","sbi_agree_ips","sbi_domin_ips","sbi_quarl_ips","sbi_submi_ips","sbi_agency_ips","sbi_commun_ips"
101,1,1,700,900,60,6,3,2,0,NA,0,0,3,2,7,6,3,3,1,3,1,0.333333333,0,0.666666667,0,0,-1,0.25,0.083333333,-0.25,0.416666667,-0.25,0,-0.333333333
101,1,2,1230,1330,60,2,6,3,1,4,0,0,2,2,8,6,8,6,1,3,0,0.333333333,0.333333333,0.333333333,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
101,1,3,1245,1330,10,2,6,3,1,4,0,1,2,2,8,6,8,6,1,3,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,1,4,1330,1417,90,1,7,5,1,4,0,0,6,4,9,8,8,7,1,3,0,0.333333333,0.666666667,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
101,1,5,1420,1500,15,3,5,1,1,9,0,0,96,4,4,5,6,5,1,3,0,0,0,0,0.333333333,-1,0,0.083333333,-0.083333333,-0.083333333,-0.083333333,0.25,-0.333333333,0
101,1,6,1445,1600,45,2,6,2,1,4,0,0,6,3,8,7,8,7,1,3,0,0.333333333,0.333333333,0.333333333,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
101,1,7,1920,1945,30,2,6,5,1,4,0,NA,6,4,8,7,8,7,1,3,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,1,8,2030,2145,45,2,6,1,1,4,0,NA,6,4,8,7,8,7,1,3,0,0,0.333333333,0,0,1,0,0.083333333,-0.083333333,0.25,-0.083333333,-0.083333333,0.333333333,0
101,2,9,30,200,60,4,4,2,0,5,0,1,2,2,7,6,9,5,0,2,0,0.333333333,0.666666667,0.666666667,0,2,-1,0.416666667,-0.083333333,0.25,0.25,-0.416666667,0.666666667,-0.333333333
101,2,10,0,300,120,2,6,2,1,4,0,1,6,4,8,7,8,6,0,2,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,2,11,200,300,30,2,6,1,1,4,0,1,6,4,8,6,8,7,0,2,0,0.333333333,0.666666667,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
101,2,12,200,300,20,2,6,1,1,4,0,1,6,2,8,7,8,6,0,2,0,0.666666667,0,0,0.333333333,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
101,2,13,200,300,15,2,6,1,1,4,0,NA,6,2,8,6,8,7,0,2,0,0.333333333,0.333333333,0.333333333,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
