"id","partner_status","occasion"
101,NA,1
101,"friend",2
101,"friend",3
101,"friend",4
101,"roommate",5
101,"friend",6
101,"friend",7
101,"friend",8
101,"acquaintance",9
101,"friend",10
101,"friend",11
101,"friend",12
101,"friend",13
101,"friend",14
101,"friend",15
101,"acquaintance",16
101,"friend",17
101,"friend",18
101,"acquaintance",19
101,"acquaintance",20
101,"friend",21
101,"friend",22
101,"friend",23
101,"acquaintance",24
101,"roommate",25
101,"friend",26
101,"friend",27
101,"friend",28
101,"friend",29
101,"friend",30
101,"friend",31
101,"friend",32
101,"friend",33
101,"friend",34
101,NA,35
101,NA,36
101,"acquaintance",37
101,"acquaintance",38
101,"friend",39
101,"roommate",40
101,"roommate",41
101,"friend",42
101,"friend",43
101,"friend",44
101,"friend",45
101,"acquaintance",46
101,"acquaintance",47
101,"acquaintance",48
101,"roommate",49
101,"friend",50
101,"acquaintance",51
101,"acquaintance",52
101,"friend",53
101,"friend",54
101,"friend",55
101,"friend",56
103,"roommate",1
103,"roommate",2
103,"parent",3
103,"sibling",4
103,"roommate",5
103,"roommate",6
103,"acquaintance",7
103,"roommate",8
103,"parent",9
103,"roommate",10
103,"roommate",11
103,"roommate",12
103,"roommate",13
103,"roommate",14
104,"friend",1
104,NA,2
104,"coworker",3
104,"coworker",4
104,NA,5
104,"supervisor",6
104,"coworker",7
104,"romantic_partner",8
104,"sibling",9
104,"acquaintance",10
104,"acquaintance",11
104,"friend",12
104,"friend",13
104,"romantic_partner",14
104,"sibling",15
104,"romantic_partner",16
104,"acquaintance",17
104,"acquaintance",18
104,"friend",19
104,"sibling",20
104,NA,21
104,NA,22
104,NA,23
104,"romantic_partner",24
104,"supervisee",25
104,"coworker",26
104,"coworker",27
104,"coworker",28
104,"coworker",29
104,"coworker",30
104,"coworker",31
104,"romantic_partner",32
104,"friend",33
104,"coworker",34
104,"coworker",35
104,"coworker",36
104,"coworker",37
104,"coworker",38
104,"coworker",39
104,"romantic_partner",40
104,"friend",41
104,"friend",42
104,"coworker",43
104,NA,44
104,"friend",45
104,"acquaintance",46
104,"acquaintance",47
104,"romantic_partner",48
104,"friend",49
104,"coworker",50
104,"coworker",51
104,"coworker",52
104,"coworker",53
104,"coworker",54
104,"acquaintance",55
105,"friend",1
105,"friend",2
105,"friend",3
105,"friend",4
105,"roommate",5
105,"acquaintance",6
105,"roommate",7
105,"friend",8
105,"roommate",9
105,"friend",10
105,"friend",11
105,"roommate",12
105,"friend",13
105,"roommate",14
105,"friend",15
105,"friend",16
105,"friend",17
105,"roommate",18
105,"friend",19
105,"friend",20
105,"friend",21
105,"acquaintance",22
105,"roommate",23
105,"friend",24
105,"friend",25
105,"friend",26
105,"friend",27
105,"friend",28
105,"friend",29
105,"friend",30
105,"friend",31
105,"friend",32
105,"roommate",33
106,NA,1
106,NA,2
106,"roommate",3
106,"friend",4
106,"sibling",5
106,"acquaintance",6
106,"supervisor",7
106,NA,8
106,"roommate",9
106,"friend",10
106,NA,11
106,NA,12
106,"friend",13
106,"romantic_partner",14
106,"coworker",15
106,"romantic_partner",16
106,"roommate",17
106,"romantic_partner",18
106,"roommate",19
106,"romantic_partner",20
106,"acquaintance",21
106,"roommate",22
106,"sibling",23
106,"coworker",24
106,"coworker",25
106,"friend",26
106,NA,27
106,"friend",28
106,"sibling",29
106,"friend",30
106,"friend",31
106,"friend",32
106,"friend",33
106,NA,34
106,"coworker",35
106,"sibling",36
106,"coworker",37
106,"friend",38
106,NA,39
106,"roommate",40
106,NA,41
106,NA,42
106,"roommate",43
106,"romantic_partner",44
106,"romantic_partner",45
106,"roommate",46
107,"friend",1
107,"friend",2
107,NA,3
107,"friend",4
107,"friend",5
107,"supervisor",6
107,"friend",7
107,"friend",8
107,"friend",9
107,"friend",10
107,NA,11
107,"acquaintance",12
107,"friend",13
107,"roommate",14
107,NA,15
107,"supervisor",16
107,"acquaintance",17
107,"friend",18
107,"roommate",19
107,NA,20
107,"friend",21
107,NA,22
107,"roommate",23
108,"friend",1
108,NA,2
108,"roommate",3
108,"friend",4
108,"friend",5
108,"friend",6
108,"romantic_partner",7
108,"friend",8
108,"roommate",9
108,"friend",10
108,"friend",11
108,"friend",12
108,"friend",13
108,"friend",14
108,NA,15
108,"parent",16
108,"friend",17
108,"friend",18
108,"friend",19
108,"parent",20
108,"parent",21
108,"friend",22
108,"parent",23
108,"friend",24
108,"supervisor",25
108,"friend",26
108,"friend",27
108,"supervisor",28
108,"roommate",29
108,"friend",30
108,"friend",31
108,"friend",32
108,"friend",33
108,"supervisor",34
108,"roommate",35
108,"friend",36
108,"friend",37
108,"friend",38
108,"friend",39
108,"parent",40
108,"friend",41
108,"friend",42
108,NA,43
108,"supervisor",44
108,"friend",45
108,"parent",46
108,"parent",47
108,"friend",48
108,"friend",49
108,"friend",50
108,"roommate",51
108,NA,52
108,"friend",53
108,"supervisee",54
108,"friend",55
108,"parent",56
109,NA,1
109,"friend",2
109,"friend",3
109,NA,4
109,"friend",5
109,"friend",6
109,"roommate",7
109,"friend",8
109,"friend",9
109,"friend",10
109,"roommate",11
109,"friend",12
109,"roommate",13
109,"roommate",14
109,"friend",15
109,"friend",16
109,"friend",17
109,"roommate",18
109,"roommate",19
109,"roommate",20
109,"friend",21
109,"friend",22
109,"supervisor",23
109,"friend",24
109,"friend",25
109,"friend",26
109,"roommate",27
109,"friend",28
109,"roommate",29
109,"roommate",30
109,"roommate",31
110,"acquaintance",1
110,"roommate",2
110,"friend",3
110,"friend",4
110,"friend",5
110,"sibling",6
110,"friend",7
110,"friend",8
110,"roommate",9
110,"friend",10
110,"parent",11
110,NA,12
110,"roommate",13
110,NA,14
110,"roommate",15
110,"friend",16
110,"sibling",17
110,"sibling",18
110,"friend",19
110,"romantic_partner",20
110,"friend",21
110,"acquaintance",22
110,"sibling",23
110,"friend",24
110,"friend",25
111,"friend",1
111,NA,2
111,NA,3
111,NA,4
111,NA,5
111,NA,6
111,NA,7
111,"friend",8
111,"roommate",9
111,"acquaintance",10
111,"friend",11
111,"friend",12
111,"friend",13
111,"supervisor",14
111,"friend",15
111,"friend",16
111,"friend",17
111,"friend",18
111,"friend",19
111,"friend",20
111,NA,21
111,"friend",22
111,NA,23
111,"friend",24
111,"friend",25
111,"friend",26
111,"friend",27
111,"friend",28
111,"acquaintance",29
111,"sibling",30
112,"friend",1
112,"roommate",2
112,"friend",3
112,"friend",4
112,"friend",5
112,"friend",6
112,"romantic_partner",7
112,"romantic_partner",8
112,"friend",9
112,"friend",10
112,"romantic_partner",11
112,"friend",12
