201 1 0 0 . . . . . 38 . . . 55 . . . . . . . . . . . 3 . . . 5 . . . . . . . . . . . 0 . . . 1 . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 0 . . . 0 . . . . . .
303 1 0 1 . . . . . . 26 . . . 33 . . . . . . . . . . . 2 . . . 5 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 2 . . . 2 . . . . .
2702 0 0 0 . . . 56 . . . 58 . . . . . . . 80 . . . 2 . . . 4 . . . . . . . 8 . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . 1 . . . 0 . . . 2 . . . . . . . 2
4303 1 0 0 . . . . . 41 . . . 58 . . . . . . . . . . . 3 . . . 4 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 0 . . . 1 . . . . . . . . . . . 1 . . . 2 . . . . . .
5002 0 0 4 . . . . . . 46 . . . 54 . . . 66 . . . . . . . 4 . . . 6 . . . 8 . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 0 . . . 1 . . . . . . . 4 . . . 1 . . . 5 .
5005 1 0 0 . . 35 . . 50 . . . 60 . . . 59 . . . . 2 . . 4 . . . 6 . . . 8 . . . . 0 . . 0 . . . 0 . . . 1 . . . . 0 . . 1 . . . 1 . . . 1 . . . . 2 . . 2 . . . 1 . . . 3 . .
5701 0 0 2 . . . . . 62 . . 61 . . . . . . . . . . . . 3 . . 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0 . . 0 . . . . . . . . . . . . 2 . . 1 . . . . . . .
6102 0 0 0 . . . . . . 55 . . . 67 . . 81 . . . . . . . . 4 . . . 5 . . 7 . . . . . . . . . . . . . . . . . . . . . . . . 0 . . . 1 . . 1 . . . . . . . . 1 . . . 0 . . 0 . .
6801 1 0 0 . . . . 54 . . . 62 . . . 66 . . . . . . . 3 . . . 5 . . . 7 . . . . . . . 0 . . . 0 . . . 0 . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 0 . . . 0 . . . 0 . . .
6802 0 0 0 . . . . 55 . . . 66 . . . 68 . . . . . . . 3 . . . 5 . . . 7 . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 0 . . . 1 . . . 0 . . .
6803 1 0 0 . . . . . 57 . . . 70 . . . . . . . . . . . 3 . . . 5 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 0 . . . 1 . . . . . .
9603 0 0 0 . . 35 . . . 59 . . . . . . . . . . . 2 . . . 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 1 . . . 0 . . . . . . . . .
12401 1 0 0 . . 34 . . . 50 . . . . . . . . . . . 3 . . . 4 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 0 . . . 1 . . . . . . . . . . . 1 . . . 1 . . . . . . . . .
12801 0 0 2 . . . . . . 48 . . . . . . . . . . . . . . . 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0 . . . . . . . . . . . . . . . 2 . . . . . . . . .
13702 1 0 0 . . . . 54 . . . 64 . . . 63 . . . . . . . 3 . . . 6 . . . 7 . . . . . . . 0 . . . 0 . . . 0 . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 0 . . . 0 . . . 0 . . .
13801 0 0 1 . . . . . 66 . . . 65 . . . . . . . . . . . 3 . . . 5 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 1 . . . 0 . . . . . .
13803 1 0 0 . . . . 58 . . . 60 . . . . . . . . . . . 3 . . . 5 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 0 . . . 0 . . . . . . .
17201 1 0 0 . . . . 46 . . . 65 . . . . . . . . . . . 3 . . . 5 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 1 . . . 1 . . . . . . .
18601 0 0 1 . . . . . 27 . . . . . . . . . . . . . . . 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0 . . . . . . . . . . . . . . . . . . . . . . . . . .
22104 1 0 0 . . . . 24 . . . 41 . . . . . . . . . . . 2 . . . 4 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 0 . . . 2 . . . . . . .
22901 0 0 0 . . . 32 . . . . . . . 49 . . . . . . . 3 . . . . . . . 5 . . . . . . . . . . . . . . . . . . . . . . . 0 . . . . . . . 1 . . . . . . . 0 . . . . . . . 0 . . . .
23602 0 0 2 . . . . . . 57 . . . . . . . . . . . . . . . 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0 . . . . . . . . . . . . . . . 1 . . . . . . . . .
