"SelfAgency_X","OtherAgency_Y","Happy_Z"
82,22,57
97,21,66
55,51,67
82,13,73
32,61,94
14,95,83
56,52,78
34,71,74
50,50,67
51,48,77
88,12,48
53,47,68
26,46,61
78,23,55
19,77,80
50,37,67
23,77,72
50,50,67
30,85,80
52,50,75
41,77,77
49,70,83
53,87,83
35,66,73
54,50,81
39,48,83
48,45,89
51,51,85
8,85,68
54,65,75
19,86,85
17,92,80
51,56,75
53,57,88
56,55,75
49,46,83
27,56,88
43,59,83
41,52,53
60,29,80
52,47,77
8,84,79
71,40,83
50,48,83
50,54,84
54,54,77
56,55,80
16,93,75
24,73,79
69,53,85
67,60,75
68,25,75
36,26,91
57,55,75
49,50,73
58,59,76
45,57,74
64,76,77
46,12,80
38,71,73
47,65,82
79,68,74
34,77,74
58,56,77
74,71,84
75,38,92
59,61,64
80,4,81
56,85,87
46,78,88
57,56,74
34,72,79
69,45,78
64,34,79
63,54,79
65,29,83
52,55,72
59,28,81
64,70,84
45,64,83
56,54,75
60,81,80
27,74,83
69,62,85
42,33,83
56,64,80
61,77,86
60,70,79
52,51,82
61,61,86
54,54,82
59,55,86
81,75,86
60,77,86
54,84,87
58,45,92
48,34,80
37,80,79
58,61,80
56,64,83
34,63,83
44,67,87
50,81,84
36,68,84
51,63,84
38,76,82
53,63,87
63,61,83
62,58,81
78,25,88
56,59,84
22,78,92
26,79,85
61,34,81
82,30,86
83,26,88
55,60,87
21,84,86
72,25,87
32,25,96
51,74,85
52,71,85
39,77,82
53,83,61
77,56,87
25,85,43
58,15,8
69,51,82
67,72,37
33,71,76
20,85,73
40,75,74
48,59,65
35,39,73
52,61,80
65,68,51
59,61,67
58,59,68
59,45,76
66,27,66
40,44,71
84,49,67
70,50,89
49,26,71
52,47,73
2,94,18
7,99,15
53,50,68
35,93,72
38,75,59
62,43,48
53,48,67
43,49,59
25,41,78
79,23,61
64,47,70
44,60,62
80,72,40
65,61,61
79,83,65
58,67,57
45,49,61
52,52,50
57,67,46
24,73,38
69,82,58
58,57,42
43,77,44
54,47,42
59,57,42
69,16,66
61,49,85
29,88,57
21,26,36
2,85,71
41,93,48
89,87,58
73,33,22
52,85,81
72,95,89
57,83,87
57,52,91
66,23,74
59,59,97
93,22,91
87,82,83
81,22,92
73,45,87
81,10,91
81,16,86
86,7,96
59,50,93
64,91,90
68,50,92
50,55,91
51,55,88
61,67,91
57,41,93
67,66,88
84,59,82
31,61,92
85,40,93
18,91,94
71,79,85
53,80,90
39,15,90
62,41,86
52,65,94
26,24,87
31,42,98
47,69,92
41,58,91
76,18,87
45,61,85
31,23,81
20,71,90
46,75,83
30,36,94
33,32,69
16,30,77
26,38,89
28,29,87
24,36,90
20,76,92
53,58,92
41,65,91
41,39,93
36,82,83
51,56,92
21,76,81
33,10,76
58,67,73
54,55,91
72,74,88
69,64,91
31,35,86
35,41,94
30,37,92
68,28,86
77,52,92
53,82,87
32,80,87
46,67,82
50,64,92
79,61,73
68,55,91
44,29,84
57,74,88
47,83,83
34,44,84
51,53,92
29,37,88
31,48,86
70,71,89
15,58,84
61,81,61
40,47,87
69,79,92
43,71,89
59,64,90
63,84,66
44,87,90
49,86,89
72,62,78
91,60,87
30,39,75
76,41,80
46,78,78
53,51,89
46,51,74
21,19,82
33,61,88
70,42,86
53,79,92
29,82,88
70,80,86
46,50,89
45,53,86
80,56,76
73,64,90
57,62,90
44,43,87
